iter	Passed	Remaining
0	63	63448
1	64	32350
2	65	21736
3	65	16417
4	66	13225
5	77	12855
6	78	11133
7	79	9843
8	80	8842
9	81	8071
10	82	7432
11	83	6878
12	84	6404
13	85	5988
14	85	5643
15	87	5364
16	88	5109
17	89	4868
18	104	5372
19	105	5185
20	106	4985
21	108	4810
22	109	4633
23	110	4482
24	111	4331
25	151	5674
26	152	5493
27	153	5321
28	172	5762
29	180	5847
30	183	5746
31	185	5602
32	186	5469
33	190	5406
34	193	5328
35	194	5199
36	196	5106
37	197	4989
38	212	5235
39	218	5241
40	220	5156
41	221	5056
42	224	4996
43	225	4908
44	226	4813
45	227	4719
46	228	4632
47	229	4553
48	230	4479
49	231	4406
50	232	4332
51	233	4259
52	234	4189
53	235	4122
54	236	4060
55	237	4002
56	238	3943
57	239	3887
58	240	3832
59	241	3778
60	242	3725
61	242	3674
62	243	3628
63	244	3582
64	245	3537
65	246	3493
66	247	3449
67	248	3406
68	249	3364
69	250	3326
70	251	3291
71	252	3254
72	253	3219
73	254	3184
74	255	3156
75	256	3121
76	258	3093
77	260	3074
78	261	3045
79	262	3013
80	262	2982
81	263	2953
82	264	2919
83	265	2896
84	266	2866
85	267	2839
86	268	2812
87	268	2785
88	270	2764
89	270	2739
90	272	2723
91	273	2701
92	274	2678
93	275	2654
94	276	2632
95	277	2611
96	278	2596
97	280	2578
98	281	2564
99	282	2544
100	283	2524
101	284	2504
102	285	2485
103	286	2467
104	287	2448
105	288	2431
106	289	2414
107	290	2395
108	290	2378
109	291	2361
110	292	2345
111	294	2334
112	295	2318
113	296	2301
114	297	2286
115	298	2274
116	299	2259
117	301	2250
118	302	2235
119	302	2221
120	303	2206
121	304	2190
122	305	2178
123	306	2165
124	307	2153
125	308	2140
126	309	2125
127	310	2111
128	311	2100
129	311	2085
130	312	2073
131	313	2062
132	314	2049
133	315	2040
134	316	2029
135	317	2017
136	318	2005
137	319	1995
138	320	1983
139	320	1971
140	321	1960
141	322	1947
142	324	1942
143	325	1932
144	326	1924
145	327	1913
146	327	1902
147	331	1909
148	332	1898
149	333	1888
150	334	1879
151	335	1869
152	342	1897
153	343	1888
154	344	1879
155	345	1869
156	346	1862
157	347	1853
158	348	1845
159	349	1836
160	350	1826
161	351	1818
162	352	1809
163	353	1800
164	354	1793
165	355	1784
166	356	1776
167	357	1768
168	358	1760
169	358	1752
170	359	1744
171	360	1736
172	361	1728
173	362	1721
174	363	1714
175	364	1708
176	365	1700
177	366	1692
178	367	1685
179	368	1677
180	369	1670
181	371	1668
182	372	1660
183	372	1653
184	373	1645
185	374	1638
186	375	1630
187	376	1624
188	377	1621
189	378	1614
190	379	1607
191	380	1601
192	381	1596
193	383	1591
194	384	1585
195	384	1579
196	386	1573
197	386	1566
198	387	1560
199	388	1554
200	389	1548
201	390	1542
202	392	1539
203	392	1532
204	393	1525
205	394	1519
206	395	1513
207	395	1507
208	396	1501
209	397	1495
210	398	1490
211	399	1485
212	400	1479
213	402	1476
214	402	1471
215	404	1467
216	405	1462
217	406	1456
218	406	1451
219	407	1445
220	408	1440
221	409	1434
222	409	1428
223	410	1422
224	410	1415
225	412	1412
226	413	1407
227	414	1402
228	414	1396
229	415	1391
230	416	1385
231	416	1380
232	417	1375
233	418	1369
234	419	1364
235	420	1359
236	420	1354
237	421	1350
238	422	1345
239	423	1340
240	424	1336
241	425	1331
242	425	1326
243	426	1322
244	427	1317
245	428	1312
246	428	1307
247	429	1302
248	430	1297
249	430	1292
250	431	1288
251	432	1283
252	433	1278
253	433	1274
254	434	1270
255	435	1265
256	436	1261
257	437	1257
258	438	1253
259	438	1249
260	439	1244
261	440	1241
262	441	1238
263	442	1234
264	443	1229
265	444	1225
266	445	1221
267	445	1217
268	446	1213
269	447	1210
270	448	1206
271	449	1202
272	450	1198
273	451	1195
274	451	1191
275	452	1187
276	453	1183
277	455	1182
278	455	1178
279	456	1173
280	456	1169
281	457	1165
282	458	1161
283	459	1157
284	459	1153
285	460	1149
286	461	1146
287	462	1142
288	463	1139
289	464	1136
290	464	1132
291	465	1128
292	466	1124
293	467	1121
294	467	1118
295	469	1117
296	470	1113
297	470	1109
298	471	1105
299	472	1102
300	473	1098
301	473	1095
302	474	1091
303	475	1089
304	476	1085
305	477	1082
306	477	1078
307	478	1075
308	479	1071
309	480	1068
310	480	1065
311	481	1062
312	482	1058
313	483	1055
314	484	1052
315	484	1049
316	485	1046
317	486	1043
318	487	1041
319	488	1038
320	489	1035
321	490	1032
322	491	1030
323	492	1028
324	493	1025
325	494	1022
326	495	1019
327	496	1017
328	497	1014
329	498	1012
330	499	1009
331	500	1006
332	500	1002
333	501	999
334	502	996
335	502	993
336	503	991
337	504	988
338	505	985
339	506	982
340	506	979
341	507	976
342	508	974
343	509	971
344	510	968
345	510	965
346	511	962
347	512	959
348	512	956
349	513	954
350	514	951
351	515	948
352	515	945
353	516	942
354	517	940
355	518	937
356	519	935
357	519	932
358	520	929
359	521	927
360	522	924
361	522	921
362	523	919
363	524	916
364	525	914
365	526	912
366	527	910
367	528	907
368	529	906
369	530	903
370	531	901
371	532	898
372	533	897
373	541	906
374	542	904
375	543	901
376	543	898
377	544	895
378	545	893
379	546	891
380	547	890
381	548	887
382	552	890
383	553	888
384	554	886
385	555	883
386	556	881
387	558	881
388	559	878
389	560	876
390	561	874
391	562	872
392	563	869
393	564	867
394	566	866
395	566	864
396	567	862
397	568	859
398	569	857
399	569	854
400	570	852
401	573	853
402	575	852
403	576	850
404	577	847
405	577	845
406	578	843
407	579	840
408	580	838
409	581	836
410	581	833
411	582	831
412	583	829
413	584	827
414	585	824
415	586	822
416	586	820
417	587	818
418	588	816
419	589	814
420	590	812
421	591	810
422	592	808
423	593	806
424	594	803
425	595	802
426	596	800
427	596	797
428	597	795
429	598	793
430	599	791
431	600	789
432	600	786
433	601	784
434	602	782
435	602	780
436	603	777
437	606	778
438	607	776
439	608	774
440	608	771
441	609	769
442	610	767
443	611	765
444	611	763
445	612	761
446	613	758
447	613	756
448	614	754
449	615	751
450	615	749
451	616	747
452	617	746
453	618	744
454	619	742
455	620	740
456	621	738
457	622	736
458	623	734
459	624	732
460	625	730
461	625	728
462	626	727
463	627	725
464	628	723
465	629	721
466	630	719
467	630	716
468	631	715
469	632	713
470	633	710
471	633	708
472	634	706
473	634	704
474	635	702
475	636	700
476	637	698
477	637	696
478	638	694
479	639	692
480	639	690
481	640	688
482	641	686
483	642	685
484	643	683
485	644	681
486	644	679
487	648	680
488	649	678
489	650	677
490	651	675
491	651	673
492	652	671
493	653	669
494	653	667
495	654	664
496	655	662
497	655	661
498	656	659
499	657	657
500	657	655
501	658	653
502	658	651
503	670	659
504	671	657
505	671	655
506	672	653
507	673	652
508	674	650
509	674	648
510	675	646
511	675	644
512	676	642
513	677	640
514	678	638
515	679	637
516	679	635
517	680	633
518	682	632
519	682	630
520	683	628
521	683	626
522	684	624
523	685	622
524	686	620
525	686	619
526	687	617
527	688	615
528	689	613
529	690	611
530	690	609
531	691	607
532	691	606
533	692	604
534	692	602
535	693	600
536	693	598
537	694	596
538	696	595
539	696	593
540	697	591
541	698	589
542	698	588
543	699	586
544	700	584
545	700	582
546	701	581
547	702	579
548	703	577
549	703	575
550	704	574
551	705	572
552	707	571
553	708	570
554	709	568
555	709	566
556	710	564
557	710	563
558	711	561
559	711	559
560	712	557
561	712	555
562	713	553
563	714	552
564	714	550
565	715	548
566	715	546
567	716	545
568	717	543
569	717	541
570	718	539
571	718	537
572	719	536
573	720	534
574	720	532
575	721	531
576	722	529
577	722	527
578	723	525
579	723	524
580	724	522
581	725	521
582	726	519
583	726	517
584	727	516
585	728	514
586	729	513
587	729	511
588	730	509
589	731	508
590	731	506
591	732	504
592	732	503
